x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-16.93800E-03,+3.78750000E+00,-500.00000E-03,-387.50000E-03,-37.50002E-03
-16.88800E-03,+8.96250000E+00,-500.00000E-03,-625.00000E-03,-37.50002E-03
-16.83800E-03,+11.58750000E+00,-500.00000E-03,-550.00000E-03,-45.00002E-03
-16.78800E-03,+10.87500000E+00,-575.00000E-03,-312.50000E-03,-53.75002E-03
-16.73800E-03,+11.25000000E+00,-737.50000E-03,-387.50000E-03,-6.25002E-03
-16.68800E-03,+12.36250000E+00,-500.00000E-03,-625.00000E-03,-13.75002E-03
-16.63800E-03,+9.95000000E+00,-500.00000E-03,-625.00000E-03,-37.50002E-03
-16.58800E-03,+5.38750000E+00,-500.00000E-03,-550.00000E-03,-37.50002E-03
-16.53800E-03,+12.75000000E+00,-425.00000E-03,-312.50000E-03,-45.00002E-03
-16.48800E-03,+10.95000000E+00,-262.50000E-03,-387.50000E-03,-53.75002E-03
-16.43800E-03,+6.97500000E+00,-500.00000E-03,-625.00000E-03,-6.25002E-03
-16.38800E-03,+12.66250000E+00,-500.00000E-03,-625.00000E-03,-6.25002E-03
-16.33800E-03,+13.37500000E+00,-425.00000E-03,-550.00000E-03,-13.75002E-03
-16.28800E-03,+11.05000000E+00,-262.50000E-03,-387.50000E-03,-45.00002E-03
-16.23800E-03,+6.23750000E+00,-425.00000E-03,-550.00000E-03,-61.25002E-03
-16.18800E-03,+14.16250000E+00,-337.50000E-03,-312.50000E-03,-22.50002E-03
-16.13800E-03,+11.36250000E+00,-737.50000E-03,-387.50000E-03,+9.99998E-03
-16.08800E-03,+5.65000000E+00,-425.00000E-03,-625.00000E-03,-30.00002E-03
-16.03800E-03,+11.77500000E+00,-262.50000E-03,-550.00000E-03,-21.25002E-03
-15.98800E-03,+14.85000000E+00,-500.00000E-03,-387.50000E-03,-398.75002E-03
-15.93800E-03,+14.58750000E+00,-500.00000E-03,-625.00000E-03,-1.11375002E+00
-15.88800E-03,+12.47500000E+00,-500.00000E-03,-625.00000E-03,-136.25002E-03
-15.83800E-03,+15.48750000E+00,-500.00000E-03,-550.00000E-03,-560.00002E-03
-15.78800E-03,+11.35000000E+00,-425.00000E-03,-387.50000E-03,-1.12000002E+00
-15.73800E-03,+2.97500000E+00,-262.50000E-03,-625.00000E-03,-622.50002E-03
-15.68800E-03,+15.56250000E+00,-500.00000E-03,-550.00000E-03,-287.50002E-03
-15.63800E-03,+11.51250000E+00,-425.00000E-03,-237.50000E-03,-1.01625002E+00
-15.58800E-03,+1.16250000E+00,-262.50000E-03,-75.00000E-03,-1.10625002E+00
-15.53800E-03,+10.50000000E+00,-500.00000E-03,-312.50000E-03,-157.50002E-03
-15.48800E-03,+15.32500000E+00,-500.00000E-03,-387.50000E-03,-717.50002E-03
-15.43800E-03,+11.51250000E+00,-500.00000E-03,-625.00000E-03,-1.06250002E+00
-15.38800E-03,+2.73750000E+00,-500.00000E-03,-550.00000E-03,-312.50002E-03
-15.33800E-03,+15.56250000E+00,-500.00000E-03,-312.50000E-03,-366.25002E-03
-15.28800E-03,+11.51250000E+00,-425.00000E-03,-387.50000E-03,-942.50002E-03
-15.23800E-03,+1.38750000E+00,-337.50000E-03,-550.00000E-03,-805.00002E-03
-15.18800E-03,+11.28750000E+00,-662.50000E-03,-312.50000E-03,-211.25002E-03
-15.13800E-03,+15.56250000E+00,-262.50000E-03,-312.50000E-03,-835.00002E-03
-15.08800E-03,+14.96250000E+00,-500.00000E-03,-312.50000E-03,-1.05875002E+00
-15.03800E-03,+13.58750000E+00,-425.00000E-03,-387.50000E-03,-97.50002E-03
-14.98800E-03,+15.25000000E+00,-262.50000E-03,-625.00000E-03,-467.50002E-03
-14.93800E-03,+11.27500000E+00,-500.00000E-03,-625.00000E-03,-955.00002E-03
-14.88800E-03,+2.66250000E+00,-500.00000E-03,-625.00000E-03,-543.75002E-03
-14.83800E-03,+15.25000000E+00,-575.00000E-03,-625.00000E-03,-241.25002E-03
-14.78800E-03,+11.27500000E+00,-737.50000E-03,-625.00000E-03,-937.50002E-03
-14.73800E-03,+1.38750000E+00,-500.00000E-03,-625.00000E-03,-1.08250002E+00
-14.68800E-03,+11.21250000E+00,-575.00000E-03,-625.00000E-03,-135.00002E-03
-14.63800E-03,+15.25000000E+00,-737.50000E-03,-625.00000E-03,-616.25002E-03
-14.58800E-03,+11.27500000E+00,-500.00000E-03,-550.00000E-03,-960.00002E-03
-14.53800E-03,+2.81250000E+00,-350.00000E-03,-237.50000E-03,-273.75002E-03
-14.48800E-03,+15.72500000E+00,-100.00000E-03,-75.00000E-03,-311.25002E-03
